town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Bejrút,6,9,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=422&xokrsek=61,1000061,25.00
Bejrút,9,5,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=422&xokrsek=61,1000061,18.75
Kuala Lumpur,6,1,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=458&xokrsek=62,1000062,23.52
Kuala Lumpur,9,16,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=458&xokrsek=62,1000062,29.41
Ulánbátar,6,1,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=496&xokrsek=63,1000063,0.00
Ulánbátar,9,10,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=496&xokrsek=63,1000063,42.85
Islámábád,6,7,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=586&xokrsek=64,1000064,45.45
Islámábád,9,5,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=586&xokrsek=64,1000064,36.36
Manila,6,7,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=608&xokrsek=65,1000065,8.33
Manila,9,33,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=608&xokrsek=65,1000065,41.66
Rijád,6,6,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=682&xokrsek=66,1000066,21.42
